County,First_FPC_Score
"Jefferson, Arkansas, US",20.36306276958059
"Johnson, Arkansas, US",-1.0931874894687357
"Lafayette, Arkansas, US",-29.43674706537635
"Lawrence, Arkansas, US",-5.05451254241074
"Lee, Arkansas, US",12.255330492740681
"Lincoln, Arkansas, US",17.075024020559862
"Little River, Arkansas, US",-3.3359624744822676
"Logan, Arkansas, US",5.279266272514404
"Lonoke, Arkansas, US",3.7945441725218267
"Madison, Arkansas, US",2.7991557545408536
"Marion, Arkansas, US",-6.22380715881909
"Miller, Arkansas, US",0.6502479986328994
"Mississippi, Arkansas, US",10.578151887332544
"Monroe, Arkansas, US",-22.21354202352465
"Montgomery, Arkansas, US",-5.531912202856703
"Nevada, Arkansas, US",-6.6764975959015675
"Newton, Arkansas, US",-3.5491084315338024
"Ouachita, Arkansas, US",-20.24444506889338
"Perry, Arkansas, US",-27.512468410662485
"Phillips, Arkansas, US",3.6760078787465624
"Pike, Arkansas, US",-11.351493977862333
"Poinsett, Arkansas, US",-7.677860773093896
"Polk, Arkansas, US",-18.316261797731972
"Pope, Arkansas, US",14.254461814987254
"Prairie, Arkansas, US",-9.410208236977969
"Pulaski, Arkansas, US",41.16607861307329
"Randolph, Arkansas, US",-11.162490685354753
"Saline, Arkansas, US",14.073085024325557
"Scott, Arkansas, US",-8.33116443261563
"Searcy, Arkansas, US",-34.880623183786014
"Sebastian, Arkansas, US",16.821357624440576
"Sevier, Arkansas, US",6.413592741770281
"Sharp, Arkansas, US",-10.168981719952692
"St. Francis, Arkansas, US",15.474365597598524
"Stone, Arkansas, US",-26.920753376791055
"Union, Arkansas, US",0.9325262893608531
"Van Buren, Arkansas, US",-27.36295710384936
"Washington, Arkansas, US",36.12606072579172
"White, Arkansas, US",-1.0832639302273106
"Woodruff, Arkansas, US",-19.670454756510836
"Yell, Arkansas, US",16.187847929779302
"Alameda, California, US",51.681418287580925
"Alpine, California, US",-12.948838065797212
"Amador, California, US",-16.41909328033953
"Butte, California, US",8.837796334344116
"Calaveras, California, US",-18.4509780766864
"Colusa, California, US",2.8723044857761018
"Contra Costa, California, US",43.12190018061999
"Del Norte, California, US",-11.63709104434357
"El Dorado, California, US",5.260537899532816
"Fresno, California, US",54.60238853010122
"Glenn, California, US",-4.1197988798439
"Humboldt, California, US",-7.664486099537198
"Imperial, California, US",43.990251626618566
"Inyo, California, US",-27.16954246341841
"Kern, California, US",58.12333194826863
"Kings, California, US",37.36928947367071
"Lake, California, US",-7.674934271447764
"Lassen, California, US",21.402505301069777
"Los Angeles, California, US",94.97926815589432
"Madera, California, US",19.770842833427967
"Marin, California, US",28.459469206679938
"Mariposa, California, US",-31.051094119979243
