County,First_FPC_Score
"Iron, Utah, US",-61.992
"Cache, Utah, US",-61.866
"Washington,Utah,US",-61.067
"Uintah, Utah, US",-60.568
"Haines, Alaska, US",-57.805
"Sioux, Nebraska, US",-55.925
"Wrangell, Alaska, US",-53.512
"Hamilton, New York, US",-52.247
"Cheyenne, Colorado, US",-52.228
"Woodson, Kansas, US",-52.18
